,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,name
128,14,201961,2019-20,0,1610612752,NYK,32.0,14,1,213.0,24,70,0.34299999999999997,21,63,0.33299999999999996,4,6,0.667,0,24,24,13,2,2,10,14,73,Wayne Ellington
129,3,203954,2019-20,0,1610612755,PHI,25.0,14,14,413.0,103,224,0.46,18,56,0.321,82,105,0.7809999999999999,39,130,169,39,12,19,42,48,306,Joel Embiid
130,12,203516,2019-20,0,1610612755,PHI,29.0,18,0,286.0,45,85,0.529,13,34,0.382,17,24,0.708,24,37,61,12,8,4,12,35,120,James Ennis III
131,1,1629234,2019-20,0,1610612759,SAS,22.0,1,0,2.0,0,2,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,0,Drew Eubanks
132,1,1628980,2019-20,0,1610612744,GSW,22.0,3,0,43.0,5,12,0.41700000000000004,4,8,0.5,4,4,1.0,1,4,5,2,0,0,1,2,18,Jacob Evans
133,4,203957,2019-20,0,1610612762,UTA,24.0,5,0,36.0,2,7,0.28600000000000003,0,1,0.0,0,0,0.0,1,3,4,4,1,1,2,4,4,Dante Exum
134,0,1629605,2019-20,0,1610612738,BOS,23.0,1,0,4.0,2,4,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,2,4,Tacko Fall
135,11,202324,2019-20,0,1610612740,NOP,28.0,9,7,189.0,36,58,0.621,1,2,0.5,2,6,0.33299999999999996,31,49,80,19,5,4,14,21,75,Derrick Favors
136,2,1628390,2019-20,0,1610612760,OKC,21.0,16,16,412.0,34,76,0.447,20,52,0.385,6,7,0.857,11,20,31,17,9,6,10,50,94,Terrance Ferguson
137,0,1628981,2019-20,0,1610612737,ATL,21.0,18,0,230.0,34,62,0.5479999999999999,3,13,0.231,12,20,0.6,21,33,54,20,5,8,17,30,83,Bruno Fernando
138,5,1627812,2019-20,0,1610612758,SAC,26.0,13,0,164.0,21,52,0.40399999999999997,6,19,0.316,13,15,0.867,4,17,21,19,2,1,10,10,61,Yogi Ferrell
139,3,1627827,2019-20,0,1610612742,DAL,26.0,17,14,453.0,56,116,0.483,20,60,0.33299999999999996,20,30,0.667,31,60,91,17,11,6,17,33,152,Dorian Finney-Smith
140,3,1627854,2019-20,0,1610612759,SAS,26.0,19,19,517.0,85,215,0.395,46,132,0.348,29,32,0.9059999999999999,7,44,51,37,10,0,13,35,245,Bryn Forbes
141,7,203095,2019-20,0,1610612753,ORL,27.0,17,17,515.0,110,234,0.47,42,99,0.424,51,60,0.85,2,48,50,56,17,3,34,36,313,Evan Fournier
142,2,1628368,2019-20,0,1610612758,SAC,21.0,9,9,288.0,55,128,0.43,10,30,0.33299999999999996,44,62,0.71,5,31,36,63,7,5,37,27,164,De'Aaron Fox
143,11,204025,2019-20,0,1610612765,DET,29.0,10,4,124.0,8,38,0.21100000000000002,3,13,0.231,11,14,0.7859999999999999,3,6,9,30,8,1,12,17,30,Tim Frazier
